Knee x,Foot x
46,47
46,43
44,38
44,41
44,41
43,41
43,41
43,42
44,45
43,44
43,44
45,50
46,50
45,48
45,48
44,44
44,43
44,43
44,43
44,38
44,39
44,42
45,50
44,49
44,47
45,53
44,46
43,37
43,40
43,45
43,44
43,45
43,44
43,48
44,41
45,43
50,50
49,52
48,44
48,49
48,49
47,43
45,44
47,47
50,51
50,50
46,52
40,40
41,40
42,41
45,38
46,38
47,49
46,43
46,43
46,46
46,51
47,54
47,52
47,50
47,46
47,51
47,44
47,47
47,49
48,51
48,48
47,44
47,43
47,43
47,44
47,54
47,44
47,52
49,53
49,51
48,51
50,57
51,56
51,55
48,47
47,49
47,52
47,53
9,1
10,5
13,3
47,33
48,37
48,38
48,37
48,36
48,37
48,38
47,35
47,34
47,34
47,33
47,32
46,32
46,32
46,32
46,32
46,34
47,35
47,38
47,37
47,34
47,40
47,38
47,35
47,37
47,36
47,39
48,39
48,39
48,39
48,39
48,36
47,34
47,35
47,35
47,35
46,34
48,39
48,38
48,38
48,39
47,35
47,35
46,33
46,34
46,34
47,34
47,34
48,37
47,37
47,40
48,40
49,45
49,46
49,44
50,48
50,43
49,44
49,47
50,50
50,47
48,42
47,46
46,47
44,39
44,43
43,46
42,45
39,43
36,38
35,38
34,40
34,40
34,40
34,42
34,43
33,41
34,41
34,42
34,42
34,42
34,42
35,44
35,44
35,43
35,45
35,44
35,44
35,44
36,44
36,43
36,43
36,44
36,43
36,43
35,43
35,41
35,40
34,38
34,39
35,39
36,41
36,41
36,41
36,40
36,40
36,39
36,40
36,38
36,39
36,37
36,36
36,35
36,36
36,36
37,36
36,32
36,33
36,33
36,34
36,35
36,36
38,36
38,37
38,37
40,39
40,39
42,39
44,41
44,45
45,42
45,42
44,42
46,43
46,43
47,45
44,36
43,38
42,39
40,39
38,39
38,39
37,37
36,39
37,41
37,41
36,40
36,40
35,40
35,40
35,41
35,40
34,38
35,39
35,39
35,42
35,41
36,41
36,43
37,42
36,42
37,42
37,42
36,40
36,40
36,39
36,40
36,40
36,41
36,41
36,40
35,39
35,39
35,39
34,38
34,37
34,38
34,36
35,37
35,38
35,38
35,40
35,40
36,41
36,41
36,41
38,42
41,41
44,40
41,39
42,39
43,39
44,39
47,42
49,48
49,47
49,50
48,47
47,48
47,48
47,50
45,48
46,48
46,47
42,42
37,40
36,38
36,39
36,38
35,38
35,39
35,39
36,38
34,38
33,38
34,41
33,39
34,42
33,38
33,36
34,40
34,39
34,36
34,36
34,37
34,37
34,39
34,41
34,39
34,40
34,39
34,39
34,39
34,37
34,37
35,36
35,34
35,36
35,36
35,38
36,39
37,39
37,39
38,40
40,40
42,41
42,40
43,40
44,41
45,47
49,54
49,52
47,50
44,41
42,38
39,37
39,38
39,40
38,38
39,41
38,41
37,40
38,41
36,39
36,40
36,41
36,41
36,41
34,41
35,41
35,41
35,41
35,41
34,41
34,41
34,41
34,43
34,43
34,44
34,44
34,44
34,39
35,40
35,38
35,34
35,36
35,35
35,37
35,38
35,38
35,38
35,39
35,37
35,36
36,43
36,41
36,41
36,40
36,35
36,35
36,36
36,36
36,38
36,40
37,40
38,41
39,41
40,38
41,38
41,38
43,38
45,39
47,44
46,47
48,47
47,45
48,48
48,48
50,50
49,49
49,61
43,36
40,37
38,40
39,40
37,41
37,40
37,41
37,41
36,40
35,39
35,40
34,40
33,37
34,38
34,38
34,34
34,35
34,36
34,33
34,39
35,38
35,36
34,35
34,32
35,35
36,35
36,35
36,38
36,38
36,34
35,34
35,34
35,34
36,35
38,37
39,40
43,43
44,40
46,40
46,40
45,39
50,47
48,47
47,46
47,45
46,44
46,45
46,44
46,44
46,45
47,48
48,47
39,41
38,40
37,41
35,40
34,41
34,41
34,41
33,42
33,42
33,43
34,43
34,43
34,43
33,40
33,40
34,40
33,36
33,40
33,39
33,42
33,41
33,41
33,41
34,39
34,41
33,41
33,39
33,40
33,40
33,40
34,40
34,43
34,43
34,43
34,43
34,43
34,43
34,43
34,43
34,42
34,41
34,41
34,41
34,41
34,41
34,41
34,40
34,40
34,40
35,40
35,40
35,40
35,37
35,39
35,38
35,38
35,38
35,37
35,37
35,36
34,37
34,38
34,39
34,37
34,36
34,37
34,37
34,36
34,36
34,39
34,35
34,33
34,36
34,37
34,35
35,34
35,34
36,37
38,39
40,42
42,43
42,42
45,46
45,44
46,44
45,40
45,36
47,43
48,47
50,53
42,44
40,41
39,39
37,39
36,39
34,39
34,39
34,38
33,43
33,42
33,42
33,38
33,39
33,36
33,33
33,36
33,36
33,38
33,34
33,33
33,34
33,34
33,37
33,37
33,38
34,38
34,40
35,40
35,40
35,40
35,40
35,42
35,42
35,41
35,41
35,41
35,42
35,41
35,41
35,40
35,39
35,39
35,39
35,38
35,35
35,36
37,40
37,39
42,41
40,41
45,47
44,44
45,44
43,43
45,42
46,44
47,48
46,46
46,37
47,37
46,36
46,38
47,37
49,37
49,37
48,37
48,37
48,37
48,35
48,35
48,35
48,35
48,36
49,37
49,38
49,39
49,39
49,39
49,37
49,37
49,37
49,37
49,36
51,37
49,36
48,36
48,36
47,36
47,36
47,38
47,41
48,41
48,39
47,38
47,38
47,37
46,36
46,37
45,37
44,36
44,34
42,34
41,33
39,33
39,33
38,33
37,31
37,31
37,32
36,32
37,32
36,33
37,34
36,34
37,34
37,37
37,38
37,38
38,38
38,38
38,37
38,37
39,37
38,37
38,37
38,37
38,38
38,38
38,38
38,39
38,38
37,38
37,36
36,36
35,36
36,36
35,35
35,35
37,35
37,35
37,36
41,36
42,36
41,35
44,35
45,39
44,38
50,54
47,52
44,38
44,38
43,37
43,37
43,37
42,38
40,38
40,38
38,38
38,38
37,37
36,37
37,37
37,37
36,38
36,39
36,39
36,38
36,38
37,38
36,37
36,37
37,38
37,38
37,39
38,39
38,39
38,38
38,39
38,39
38,39
37,39
38,39
37,39
37,39
37,38
37,38
37,41
37,40
38,40
38,39
38,39
37,38
38,38
37,38
36,36
36,35
36,34
36,35
39,38
39,38
40,36
40,36
41,34
43,39
44,37
43,37
45,40
44,42
44,44
44,42
44,42
44,41
44,41
45,43
44,43
44,42
44,43
44,44
44,43
44,43
44,43
45,43
45,44
43,42
43,42
44,42
44,42
44,42
45,42
45,42
45,44
44,42
47,40
47,37
47,37
47,37
47,37
47,41
47,41
48,40
47,40
47,37
47,36
47,36
45,36
46,36
47,38
47,36
47,40
48,41
47,40
46,40
44,38
44,38
43,37
42,35
41,33
42,34
41,35
40,33
38,33
38,32
39,33
37,32
36,33
37,34
36,32
37,34
37,36
36,37
36,37
37,37
37,37
38,37
38,39
38,39
38,40
38,39
38,38
37,38
37,38
38,38
38,38
38,38
38,37
38,37
37,36
37,33
36,34
36,35
35,35
35,35
35,34
36,33
39,33
39,33
39,35
41,39
42,39
43,38
44,38
46,38
48,45
48,49
48,46
48,46
48,48
48,48
48,47
47,46
47,44
49,46
51,50
50,48
49,47
49,41
49,42
49,42
49,40
49,39
48,36
48,38
49,43
49,42
49,43
50,43
48,39
48,40
48,40
48,43
48,43
48,40
48,41
48,44
49,39
49,39
49,38
48,37
49,40
48,39
49,39
48,39
48,40
48,40
48,39
48,40
48,40
48,39
48,42
48,42
49,41
49,38
49,37
49,39
49,37
48,36
47,36
48,36
47,35
47,36
47,35
47,35
47,34
47,36
47,37
48,42
48,48
47,44
47,44
47,44
47,45
48,46
46,45
46,46
47,49
47,44
47,43
46,47
46,46
46,45
46,43
46,44
46,46
47,45
46,44
46,45
45,44
45,43
45,46
45,45
45,44
46,45
46,45
46,45
46,45
45,42
45,43
45,43
45,43
45,43
46,43
46,43
48,49
47,47
47,46
48,47
47,47
47,47
47,47
48,48
48,50
48,50
48,49
48,48
48,48
48,48
49,52
49,51
49,51
48,50
48,51
48,51
48,50
48,50
48,50
48,49
48,48
48,46
48,47
48,47
48,46
47,45
47,46
46,44
46,43
46,42
45,40
44,39
43,39
42,38
43,42
40,40
41,39
40,39
40,39
38,38
38,37
38,37
37,38
37,37
36,37
37,38
37,39
37,39
37,39
37,39
37,39
37,39
38,39
38,39
38,39
37,38
37,38
37,38
36,37
36,35
36,36
36,37
38,38
38,38
44,39
44,37
42,37
43,37
43,38
43,39
43,39
48,50
46,45
11,5
47,37
47,34
47,34
46,33
46,33
46,33
46,33
46,33
46,33
46,33
46,33
47,33
47,33
47,32
47,32
47,32
46,32
46,32
46,32
46,34
46,34
46,35
44,35
40,34
40,33
41,36
39,35
39,33
39,33
39,34
39,35
37,35
36,34
36,35
36,36
37,36
36,35
36,35
36,37
37,38
37,38
37,38
37,38
37,38
37,38
37,36
37,36
36,34
35,34
35,33
35,34
35,34
37,37
37,33
38,35
41,36
47,47
45,42
44,41
45,40
46,41
47,43
47,44
49,38
50,39
50,41
48,38
48,39
48,39
49,37
48,37
49,37
49,37
49,37
49,38
49,38
49,38
49,38
49,38
49,38
50,38
51,39
51,39
51,39
51,40
50,38
49,38
49,37
49,36
49,36
49,36
49,37
49,37
49,36
49,37
