knee angle,hip angle
152,150
163,151
164,146
161,147
158,146
157,144
157,142
156,142
147,142
146,140
147,140
141,143
145,144
147,143
149,143
154,141
155,141
155,141
153,139
163,139
161,137
155,138
135,139
122,137
125,136
84,137
91,134
163,133
160,133
142,132
146,131
143,131
145,130
124,130
153,129
146,130
160,147
146,146
161,147
155,151
154,152
168,154
161,155
161,160
167,171
169,172
133,134
144,123
148,127
149,127
167,130
165,132
148,134
159,130
161,130
149,129
128,128
92,128
112,128
133,126
150,125
127,125
152,125
139,125
141,126
131,127
126,127
155,126
157,126
158,125
153,126
90,126
155,126
137,129
142,138
148,141
153,145
110,151
138,155
160,158
159,154
154,156
149,160
144,165
169,153
147,165
132,103
177,141
178,141
177,141
178,139
178,137
177,136
176,134
178,133
178,132
179,133
179,132
178,132
176,131
176,131
177,131
177,131
175,131
177,132
176,133
178,133
179,133
176,133
176,133
178,132
175,132
175,132
174,132
176,133
176,133
176,134
176,134
176,135
178,134
176,134
175,135
175,135
175,135
177,139
179,142
177,142
175,141
178,141
176,140
177,139
177,140
176,144
177,146
177,148
176,150
176,151
173,152
176,153
174,156
169,157
173,157
169,159
175,158
175,159
171,162
165,163
166,164
166,161
166,163
165,162
166,156
160,155
148,153
146,149
135,141
126,131
119,126
111,122
108,119
108,117
105,113
104,113
103,111
102,110
99,108
96,107
96,106
95,105
95,106
96,107
95,106
95,106
95,105
96,106
95,104
96,105
94,102
94,102
95,103
95,102
95,102
93,99
92,98
93,95
93,93
92,92
91,92
91,94
89,93
87,89
87,89
87,89
88,89
88,87
91,89
92,89
97,90
99,92
99,92
99,94
104,97
106,98
108,98
107,98
109,102
110,104
112,107
113,109
126,118
126,120
131,125
135,130
138,134
150,143
155,148
150,151
160,155
161,157
160,162
167,164
167,166
169,169
170,154
162,154
152,150
142,144
137,140
134,136
130,131
121,126
118,124
116,119
110,112
111,111
105,107
98,102
95,101
94,99
96,97
93,95
92,94
85,92
87,91
84,90
85,91
88,92
88,93
88,93
88,92
90,90
90,89
88,89
88,89
88,89
87,89
86,88
86,88
88,87
90,89
91,90
94,92
97,95
101,98
106,101
111,107
112,108
114,111
110,113
113,114
117,118
118,120
121,125
132,133
147,141
160,147
151,145
156,148
160,150
164,154
167,161
167,166
172,167
169,169
167,166
162,166
164,165
159,165
159,165
162,167
163,169
148,151
129,139
127,135
122,132
121,130
124,127
120,124
115,121
117,118
111,116
107,113
98,110
99,106
92,104
95,99
93,93
87,92
85,89
91,89
88,86
89,87
86,86
82,86
80,86
85,86
84,86
86,89
88,89
90,91
91,91
91,90
95,92
101,93
100,96
101,97
106,103
109,109
117,115
124,121
134,131
142,135
154,146
151,146
158,152
160,156
165,167
174,176
172,178
169,175
165,156
156,152
146,146
143,145
139,142
139,139
133,139
132,137
126,134
128,133
124,127
119,124
118,124
116,122
115,120
110,116
108,115
107,114
106,114
104,111
99,107
95,104
95,103
93,103
91,103
89,102
88,99
88,98
93,96
97,98
96,96
98,92
98,94
96,92
90,91
91,91
91,91
91,92
91,92
90,91
91,91
91,94
93,94
96,95
99,98
109,102
105,100
107,102
108,103
110,107
112,111
120,119
125,124
133,129
138,132
147,137
150,139
160,145
163,149
162,161
158,164
162,166
159,161
164,164
165,165
178,172
175,171
82,163
161,152
147,148
137,143
136,144
126,138
121,134
121,131
116,124
113,122
111,116
106,114
99,109
101,104
100,105
96,104
104,101
103,100
98,97
99,94
96,98
94,95
97,96
98,95
102,94
98,96
100,95
100,97
96,97
96,95
99,94
99,94
105,100
109,105
120,114
127,122
131,129
146,144
155,147
162,153
164,154
162,155
173,167
173,168
165,164
163,162
161,162
164,165
165,166
165,169
168,172
175,178
178,178
140,152
134,146
121,136
112,127
108,125
105,121
101,118
95,113
96,113
96,112
93,110
92,108
89,106
89,102
87,99
95,109
102,105
99,106
90,98
83,98
86,98
88,98
86,97
87,97
83,96
82,94
81,93
81,94
84,94
82,93
81,92
76,90
76,89
76,90
76,90
77,90
77,91
79,93
79,94
79,93
83,93
83,92
80,88
78,87
78,86
77,85
79,85
78,83
78,83
81,83
81,84
83,85
93,87
93,89
94,90
97,94
100,95
99,94
99,94
100,93
96,92
93,92
93,93
99,95
99,95
101,98
103,101
103,100
101,98
100,102
103,100
108,100
106,102
105,102
105,102
109,105
121,111
121,116
130,124
140,136
147,142
150,143
155,149
160,152
165,153
164,153
168,154
164,157
162,158
168,166
146,150
143,145
137,139
125,131
121,127
111,118
105,112
104,109
95,106
95,105
88,100
90,96
88,95
89,92
92,89
90,86
89,87
88,89
93,87
95,87
94,87
92,88
87,88
88,88
87,88
89,88
84,87
83,86
83,86
83,88
84,88
82,88
83,88
84,88
83,88
84,88
84,88
83,87
83,87
86,87
89,87
93,90
98,94
102,98
109,101
108,107
112,116
125,120
146,137
141,135
158,148
158,148
164,152
154,151
167,158
166,162
166,164
166,164
173,143
174,140
172,135
171,131
173,130
179,131
178,131
175,129
175,129
175,129
178,129
178,129
176,127
176,127
176,127
176,128
178,129
177,129
178,129
177,129
177,129
177,129
177,129
178,128
177,128
177,129
177,126
174,127
172,128
168,126
169,129
169,131
169,133
171,136
173,136
171,135
171,135
171,135
170,131
168,126
164,124
160,123
162,122
153,118
151,115
141,112
136,108
130,105
130,102
126,98
120,95
111,91
111,90
104,88
103,87
105,89
103,88
91,83
90,82
87,79
86,79
88,79
86,77
87,78
87,78
84,77
83,75
82,75
80,73
79,72
77,71
78,73
82,75
85,77
94,82
99,89
104,93
111,98
113,102
121,109
130,116
131,120
136,126
155,137
161,141
158,140
167,147
165,152
167,156
164,168
160,161
157,146
158,148
153,144
152,143
151,140
144,135
134,128
133,125
122,117
120,114
110,102
104,98
97,91
95,90
93,88
89,85
86,83
86,81
85,79
84,78
87,80
86,80
85,80
89,82
89,83
89,82
91,83
91,83
91,83
87,80
85,79
82,78
81,77
80,77
79,76
79,76
77,74
75,74
75,74
76,73
78,74
83,76
89,82
94,85
99,91
102,92
114,102
121,110
123,114
135,125
135,130
141,133
147,140
158,146
161,151
164,154
161,154
165,159
167,167
168,167
164,165
168,169
167,170
168,171
168,173
166,173
169,174
170,174
171,175
173,176
174,176
171,175
176,178
176,179
170,178
170,178
177,178
177,178
177,178
178,178
178,178
178,178
171,177
171,143
172,137
171,135
172,134
173,133
168,132
168,132
169,132
166,130
170,130
170,129
170,129
168,132
170,136
175,139
176,143
177,145
176,147
172,146
165,140
158,134
156,132
154,129
152,124
152,121
156,124
147,120
141,113
133,106
131,102
129,104
118,92
113,87
116,94
112,90
106,87
101,88
96,88
94,83
93,79
95,82
98,84
93,83
90,81
89,80
86,78
87,78
87,79
88,79
87,78
85,76
86,75
88,76
90,77
94,80
100,83
111,92
107,93
109,98
116,107
119,108
121,110
141,123
141,124
142,131
145,139
151,143
159,149
160,150
168,155
167,159
158,160
166,162
167,164
165,166
166,167
167,168
168,169
170,164
177,166
179,168
173,163
172,160
178,157
175,153
173,150
